Store ID,Product Name,Stock Quantity,Reorder Point
Industrial Zone,Homestyle Mustard,48,15
Bus Terminal,Classic Ice Cream,30,20
Industrial Zone,Classic Peanuts,34,22
Garden District,Homestyle French Fries,47,9
Hospital Canteen,Organic Crackers,23,10
Hospital Canteen,Classic Jam,72,14
Railway Station,Premium Brownie Mix,77,25
Downtown Store,Organic Cashews,64,15
Garden District,Fresh Oil,22,20
Riverside Shop,Homestyle Spring Rolls,24,24
University Store,Natural Mineral Water,56,15
Industrial Zone,Fresh Rice,28,24
Railway Station,Natural Chips,34,23
Industrial Zone,Natural Mineral Water,80,6
Highway Branch,Organic Pepper,30,21
Hospital Canteen,Fresh Cream,6,19
Downtown Store,Organic Pepper,73,13
Garden District,Organic Coconut Water,45,23
Lakeview Branch,Organic Cashews,18,14
Highway Branch,Premium Black Tea,74,15
Bus Terminal,Classic Ground Coffee,42,12
Tech Park,Homestyle Chocolate Bar,71,15
Mall Outlet,Homestyle Cashews,27,24
Tech Park,Natural Oil,50,12
Hospital Canteen,Fresh Rice,80,14
Railway Station,Organic Candy,41,9
Lakeview Branch,Premium Chicken Nuggets,23,5
University Store,Organic Pepper,67,16
Highway Branch,Organic Tea,52,12
Airport Kiosk,Fresh Instant Coffee,54,7
Mall Outlet,Natural Mustard,78,20
Market Square,Natural Biscuits,26,19
Highway Branch,Natural Soup,24,25
Railway Station,Classic Fish Fillet,46,24
Industrial Zone,Classic Muesli,26,11
Lakeview Branch,Natural Honey,7,14
Mall Outlet,Homestyle Dates,80,7
Bus Terminal,Organic Raisins,51,6
Airport Kiosk,Fresh Oats,31,6
Market Square,Classic Sauce,49,14
University Store,Organic Dates,69,25
University Store,Fresh Energy Drink,55,25
Garden District,Classic Cashews,57,6
Hilltop Store,Fresh Coffee,4,25
Riverside Shop,Classic Bagel,27,7
Airport Kiosk,Natural Bread,72,22
Downtown Store,Homestyle Instant Coffee,22,7
Downtown Store,Natural Cream,32,18
Bus Terminal,Homestyle Green Tea,54,20
Bus Terminal,Classic Milk,61,19
Airport Kiosk,Classic Candy,55,15
Garden District,Premium Cake Mix,50,14
Hospital Canteen,Premium Jam,40,15
Riverside Shop,Classic Herbal Tea,9,11
University Store,Classic Frozen Veggies,66,8
Riverside Shop,Premium Yogurt,34,11
Hospital Canteen,Homestyle Pancake Mix,16,8
Industrial Zone,Organic Muesli,19,17
Riverside Shop,Fresh Cornflakes,75,15
Hospital Canteen,Fresh Muesli,32,6
Market Square,Natural Waffle Mix,19,11
Lakeview Branch,Fresh Energy Drink,26,25
Industrial Zone,Organic Cashews,28,16
Hilltop Store,Homestyle Fish Fillet,10,14
Hilltop Store,Natural Soup,42,15
Lakeview Branch,Classic Rice,5,19
Downtown Store,Organic Cake Mix,50,13
Downtown Store,Premium Fish Fillet,19,18
Downtown Store,Premium Gum,58,14
Lakeview Branch,Organic Instant Coffee,42,25
Mall Outlet,Homestyle Chicken Nuggets,40,14
Tech Park,Natural Honey,63,18
Highway Branch,Organic Instant Coffee,55,14
Market Square,Fresh Coconut Water,34,9
Bus Terminal,Homestyle Candy,76,19
Airport Kiosk,Organic Ketchup,24,23
University Store,Organic Ketchup,57,23
Hospital Canteen,Classic Cereal,63,10
Hospital Canteen,Fresh Salt,6,10
Airport Kiosk,Homestyle Frozen Pizza,48,21
Riverside Shop,Fresh Muesli,60,19
Garden District,Organic Cream,22,16
Market Square,Fresh Coffee,70,13
Market Square,Homestyle Muffin,73,24
Industrial Zone,Organic Raisins,77,23
University Store,Classic Muesli,79,16
Mall Outlet,Premium Candy,44,24
Riverside Shop,Organic Coriander,76,13
Hospital Canteen,Classic Mayonnaise,52,14
University Store,Premium Fish Fillet,34,15
Highway Branch,Fresh Almonds,76,5
Downtown Store,Fresh Black Tea,11,16
Highway Branch,Fresh Pancake Mix,21,21
Railway Station,Natural Biscuits,70,16
Hospital Canteen,Fresh Iced Tea,65,5
Garden District,Organic Chocolate Bar,66,23
Bus Terminal,Homestyle Bagel,64,24
Hilltop Store,Premium Sauce,7,8
Industrial Zone,Homestyle Pepper,40,17
Bus Terminal,Organic Cereal,80,12
Railway Station,Natural Juice,20,25
Hospital Canteen,Classic Chicken Nuggets,7,9
Industrial Zone,Natural Sauce,5,6
Garden District,Homestyle Cumin,41,7
Bus Terminal,Natural Butter,6,25
Bus Terminal,Fresh Raisins,36,18
Downtown Store,Homestyle Cornflakes,33,8
Railway Station,Organic Iced Tea,30,14
Downtown Store,Homestyle Chicken Nuggets,64,23
Riverside Shop,Organic Samosa,13,17
Industrial Zone,Fresh Cream,46,20
Hospital Canteen,Classic Cinnamon,24,20
Hospital Canteen,Fresh Chapati,24,21
Lakeview Branch,Classic Croissant,27,9
Garden District,Natural Energy Drink,53,20
Hilltop Store,Classic Frozen Veggies,66,15
Industrial Zone,Organic Soda,47,6
Railway Station,Classic Spring Rolls,52,21
Industrial Zone,Natural Pickle,10,16
Hospital Canteen,Homestyle Frozen Veggies,61,8
Lakeview Branch,Premium Oil,48,18
Hilltop Store,Premium Herbal Tea,12,18
Railway Station,Natural Soda,76,14
Downtown Store,Natural Sparkling Water,32,18
Industrial Zone,Homestyle Chicken Nuggets,32,17
University Store,Premium Mineral Water,3,15
Riverside Shop,Classic Green Tea,49,15
Mall Outlet,Homestyle Candy,54,8
Tech Park,Classic Spring Rolls,11,12
Airport Kiosk,Natural Frozen Veggies,44,18
Airport Kiosk,Fresh Noodles,18,13
Industrial Zone,Premium Pepper,11,21
Highway Branch,Premium Cinnamon,52,24
Railway Station,Organic Coriander,77,9
Mall Outlet,Organic Brownie Mix,56,23
Bus Terminal,Classic Turmeric,41,22
Tech Park,Homestyle Pita Bread,51,23
Bus Terminal,Natural Raisins,40,21
Bus Terminal,Natural Black Tea,66,25
Riverside Shop,Premium Sparkling Water,27,7
Riverside Shop,Premium Cream,30,6
Hospital Canteen,Fresh Rice,65,25
Downtown Store,Fresh Herbal Tea,28,17
Riverside Shop,Classic Mineral Water,25,10
Garden District,Premium Sauce,74,7
Railway Station,Fresh Mineral Water,19,12
Downtown Store,Organic Fish Fillet,19,20
University Store,Premium Energy Drink,77,5
Mall Outlet,Natural Yogurt,51,11
Mall Outlet,Homestyle Samosa,79,7
Riverside Shop,Classic Cereal,66,18
Airport Kiosk,Premium Peanut Butter,4,21
Hospital Canteen,Homestyle Vinegar,46,12
Garden District,Premium Crackers,2,18
Garden District,Organic Waffle Mix,24,11
Downtown Store,Premium Green Tea,26,16
Railway Station,Natural Milk,28,25
Lakeview Branch,Premium Pickle,64,19
Hospital Canteen,Premium Peanuts,39,10
Garden District,Natural Croissant,68,14
Garden District,Organic Cumin,2,14
Industrial Zone,Organic Sugar,6,11
Tech Park,Homestyle Fish Fillet,22,20
Airport Kiosk,Organic Yogurt,29,9
University Store,Homestyle Muffin,69,10
Lakeview Branch,Premium Chapati,40,17
Airport Kiosk,Homestyle French Fries,43,9
Hilltop Store,Homestyle Green Tea,31,15
Tech Park,Premium Green Tea,12,8
Market Square,Natural Oats,21,5
Airport Kiosk,Classic Ketchup,71,5
Hilltop Store,Classic Cinnamon,56,23
Hospital Canteen,Natural Jam,54,9
Hilltop Store,Organic Coriander,73,15
Airport Kiosk,Classic Bagel,10,8
Mall Outlet,Homestyle Noodles,22,21
Garden District,Organic Peanuts,61,20
Garden District,Natural Tortilla,5,11
Hilltop Store,Premium Peanuts,56,17
Railway Station,Fresh Gum,52,25
Lakeview Branch,Natural Pancake Mix,40,20
Highway Branch,Natural Honey,11,25
Airport Kiosk,Fresh Bread,55,15
Riverside Shop,Natural Oats,37,15
Downtown Store,Fresh Jam,27,20
Riverside Shop,Organic Muesli,24,24
University Store,Organic Noodles,30,20
Hospital Canteen,Fresh Cinnamon,46,25
Lakeview Branch,Fresh Vinegar,15,11
Highway Branch,Homestyle Raisins,34,15
Highway Branch,Classic Turmeric,59,15
Railway Station,Premium Croissant,14,23
Hilltop Store,Premium Noodles,8,12
Downtown Store,Premium Mustard,53,21
Bus Terminal,Natural Dates,9,19
Garden District,Organic Coriander,18,17
Hospital Canteen,Organic Syrup,38,24
University Store,Classic Butter,71,24
Mall Outlet,Natural Pasta,47,10
Garden District,Homestyle Iced Tea,78,21
Airport Kiosk,Natural Honey,66,10
Industrial Zone,Organic Rice,11,15
Mall Outlet,Fresh Fish Fillet,77,19
Bus Terminal,Natural Chips,54,13
Riverside Shop,Organic Coconut Water,33,17
Lakeview Branch,Organic Raisins,54,16
Bus Terminal,Premium Green Tea,46,9
Market Square,Classic Fish Fillet,23,9
Lakeview Branch,Classic Coffee,51,8
Tech Park,Natural Iced Tea,43,13
Lakeview Branch,Classic Pancake Mix,74,5
Industrial Zone,Classic Crackers,18,23
University Store,Natural Energy Drink,35,23
Garden District,Fresh Croissant,26,13
Lakeview Branch,Classic Popcorn,42,19
Bus Terminal,Classic Soup,54,17
Mall Outlet,Homestyle Sparkling Water,32,22
Market Square,Classic Turmeric,57,15
Hilltop Store,Premium Chips,4,6
Lakeview Branch,Classic Ice Cream,76,7
Lakeview Branch,Premium Mayonnaise,78,16
Lakeview Branch,Premium Dates,58,21
Airport Kiosk,Organic Muffin,28,23
Lakeview Branch,Homestyle Biscuits,48,23
Garden District,Fresh Pasta,51,5
Industrial Zone,Organic Frozen Pizza,76,14
Mall Outlet,Organic Peanut Butter,60,5
Railway Station,Premium Candy,15,22
Garden District,Premium Butter,31,18
Downtown Store,Homestyle Almonds,69,20
Market Square,Organic Vinegar,58,9
Downtown Store,Homestyle Cereal,19,5
Industrial Zone,Classic Popcorn,30,25
Lakeview Branch,Fresh Mustard,72,22
Mall Outlet,Organic Coriander,22,5
Garden District,Classic Chapati,75,24
Railway Station,Premium Cashews,63,18
Airport Kiosk,Premium Paratha,22,5
Airport Kiosk,Homestyle Tea,58,12
University Store,Homestyle Waffle Mix,34,21
Airport Kiosk,Classic Ice Cream,50,16
Railway Station,Natural Butter,2,19
Hilltop Store,Organic Green Tea,76,25
Lakeview Branch,Organic Bread,46,17
Hilltop Store,Classic Crackers,43,20
Garden District,Fresh Paratha,26,23
Railway Station,Natural Juice,63,6
Hospital Canteen,Fresh Herbal Tea,52,19
Airport Kiosk,Natural Chapati,33,7
Railway Station,Fresh Mineral Water,78,5
Riverside Shop,Homestyle Frozen Veggies,45,13
Railway Station,Classic Cream,72,25
Market Square,Natural Biscuits,32,6
Garden District,Premium Vinegar,68,21
Railway Station,Natural Cumin,17,6
Tech Park,Fresh Rice,44,11
Mall Outlet,Organic Pita Bread,77,10
Railway Station,Classic Mustard,55,9
Hospital Canteen,Fresh Frozen Pizza,65,21
Industrial Zone,Organic Cornflakes,6,23
Hospital Canteen,Natural Cornflakes,8,14
Downtown Store,Classic Coriander,13,14
Railway Station,Organic Chicken Nuggets,42,24
Garden District,Premium Nutella,3,6
Downtown Store,Organic Candy,76,6
Industrial Zone,Classic Cake Mix,6,19
Airport Kiosk,Natural Muesli,66,15
University Store,Premium Peanuts,58,12
Hilltop Store,Fresh Peanut Butter,65,14
Airport Kiosk,Classic Turmeric,53,23
Airport Kiosk,Classic Honey,75,25
Downtown Store,Natural Raisins,79,13
Mall Outlet,Fresh Ketchup,15,23
Market Square,Premium Rice,75,17
Bus Terminal,Organic Coriander,69,12
Highway Branch,Organic Ground Coffee,27,5
Hospital Canteen,Fresh Bagel,18,22
Hilltop Store,Fresh Sparkling Water,24,16
Hilltop Store,Organic Coriander,15,7
Industrial Zone,Natural Ice Cream,7,11
Garden District,Premium Pickle,78,14
Tech Park,Homestyle Chicken Nuggets,3,23
University Store,Fresh Salt,75,14
Mall Outlet,Classic Cereal,25,15
Riverside Shop,Premium Pita Bread,77,6
Lakeview Branch,Homestyle Mustard,31,9
Airport Kiosk,Natural Coconut Water,71,19
Hilltop Store,Premium Instant Coffee,61,17
Tech Park,Premium Frozen Veggies,6,25
Railway Station,Classic Muesli,23,21
Riverside Shop,Premium Flour,11,11
Garden District,Classic Muesli,41,5
Hilltop Store,Fresh Mayonnaise,74,24
Tech Park,Natural Milk,72,11
Market Square,Premium Waffle Mix,38,14
Hilltop Store,Homestyle Crackers,26,5
Market Square,Organic Green Tea,67,11
Railway Station,Fresh Cashews,22,23
Hilltop Store,Fresh Cornflakes,59,5
Highway Branch,Premium Gum,50,12
Market Square,Fresh Salt,2,20
Mall Outlet,Premium Jam,41,22
Mall Outlet,Natural Cashews,43,8
Airport Kiosk,Fresh Coriander,15,7
Tech Park,Natural Milk,67,18
Downtown Store,Premium Chips,58,19
Railway Station,Classic Cinnamon,59,20
Mall Outlet,Natural French Fries,19,22
Market Square,Natural Bagel,19,6
Tech Park,Fresh Candy,9,9
Market Square,Premium Chapati,42,19
University Store,Organic Sauce,47,21
Riverside Shop,Homestyle Samosa,25,12
Hilltop Store,Classic Mayonnaise,3,11
Railway Station,Organic Oil,50,19
Bus Terminal,Natural Cinnamon,63,8
Riverside Shop,Classic Soda,23,13
Garden District,Natural Samosa,62,10
Railway Station,Premium Salt,45,19
Mall Outlet,Fresh Pasta,53,14
Riverside Shop,Classic Pepper,55,20
University Store,Homestyle Gum,48,8
Lakeview Branch,Homestyle Fish Fillet,41,15
Airport Kiosk,Premium Croissant,47,10
Hospital Canteen,Premium Chapati,40,14
Hilltop Store,Classic Noodles,68,22
Highway Branch,Classic Crackers,43,9
Lakeview Branch,Premium Instant Coffee,79,23
Downtown Store,Homestyle Cashews,16,21
Hospital Canteen,Organic Herbal Tea,15,8
Hospital Canteen,Homestyle Whole Beans,57,20
Industrial Zone,Fresh Energy Drink,31,22
Tech Park,Premium Pasta,11,15
Bus Terminal,Premium Frozen Pizza,38,18
Bus Terminal,Organic Jam,49,6
Hilltop Store,Premium Green Tea,70,5
Riverside Shop,Natural Crackers,27,21
Lakeview Branch,Fresh Ketchup,10,23
Airport Kiosk,Fresh Black Tea,57,15
Lakeview Branch,Organic Pepper,24,20
Hospital Canteen,Natural Pickle,56,6
Airport Kiosk,Classic Croissant,40,16
Railway Station,Fresh Oats,32,11
Garden District,Natural Candy,75,9
Airport Kiosk,Fresh Cake Mix,48,9
University Store,Homestyle Cake Mix,43,19
Downtown Store,Premium Biscuits,11,15
Tech Park,Classic Iced Tea,45,20
Tech Park,Natural Cinnamon,19,17
Airport Kiosk,Natural Coriander,71,5
Tech Park,Homestyle Butter,27,10
University Store,Homestyle Soup,20,19
Mall Outlet,Premium Cumin,16,21
Lakeview Branch,Homestyle Oats,51,10
Lakeview Branch,Classic Pancake Mix,67,25
Railway Station,Natural Whole Beans,61,13
Bus Terminal,Premium Herbal Tea,25,11
Hilltop Store,Natural Milk,5,11
Hilltop Store,Natural Dates,46,25
University Store,Natural Milk,73,19
Garden District,Classic Coconut Water,25,18
Market Square,Organic Sparkling Water,75,11
Industrial Zone,Organic Chicken Nuggets,80,9
Highway Branch,Homestyle Iced Tea,75,13
Mall Outlet,Homestyle Pancake Mix,24,12
Highway Branch,Natural Vinegar,2,17
Highway Branch,Premium Jam,32,23
University Store,Classic Dates,14,21
Hospital Canteen,Fresh Frozen Veggies,45,16
University Store,Organic Turmeric,71,24
Highway Branch,Premium Rice,70,21
Industrial Zone,Classic Muffin,32,7
University Store,Homestyle Muffin,2,6
Industrial Zone,Fresh Crackers,46,17
Airport Kiosk,Organic Chips,27,10
Market Square,Organic Syrup,57,20
Airport Kiosk,Premium Butter,40,24
Downtown Store,Fresh Syrup,59,23
Tech Park,Homestyle Paratha,71,17
Hospital Canteen,Premium Paratha,14,18
Tech Park,Classic Oil,66,23
Lakeview Branch,Premium French Fries,19,7
Airport Kiosk,Organic Pancake Mix,48,6
Market Square,Premium Herbal Tea,24,22
Railway Station,Classic Spring Rolls,70,15
Railway Station,Fresh Pita Bread,28,14
Bus Terminal,Premium Gum,8,21
Tech Park,Classic Energy Drink,70,10
Airport Kiosk,Organic Juice,75,10
Tech Park,Premium Muesli,71,19
Highway Branch,Natural Soup,78,25
Hilltop Store,Fresh Tortilla,52,19
Industrial Zone,Classic Mineral Water,29,17
Airport Kiosk,Organic Popcorn,52,11
Airport Kiosk,Organic Cheese,72,14
Railway Station,Organic Vinegar,15,20
Highway Branch,Homestyle Fish Fillet,52,9
Market Square,Homestyle Cake Mix,3,12
Airport Kiosk,Homestyle Crackers,53,14
Riverside Shop,Organic Muesli,67,14
Garden District,Classic Herbal Tea,65,14
Riverside Shop,Organic Almonds,13,18
Garden District,Fresh Cashews,34,25
Lakeview Branch,Fresh Cumin,6,12
Mall Outlet,Organic Cinnamon,14,17
Railway Station,Fresh Peanuts,50,18
Highway Branch,Homestyle Spring Rolls,20,21
University Store,Premium Muesli,42,14
Mall Outlet,Fresh Tortilla,2,22
Hilltop Store,Premium Yogurt,60,24
Industrial Zone,Classic Brownie Mix,50,9
Highway Branch,Classic Ice Cream,75,16
Mall Outlet,Homestyle Croissant,15,25
Downtown Store,Natural Vinegar,41,21
Railway Station,Organic Peanuts,6,17
Lakeview Branch,Homestyle Waffle Mix,55,6
Lakeview Branch,Homestyle Sauce,9,10
Tech Park,Premium Popcorn,2,14
Railway Station,Natural Chicken Nuggets,4,25
Mall Outlet,Premium Paratha,35,24
Hilltop Store,Premium Tea,27,21
Tech Park,Homestyle Sugar,15,17
Industrial Zone,Classic Pickle,19,14
University Store,Organic Gum,5,18
Railway Station,Homestyle Milk,64,22
Market Square,Fresh Chapati,42,20
Tech Park,Classic Waffle Mix,30,9
